Nombre;Precio (€)
Intervenciónbase,inclusoenvíodedatosaoficina,organizaciónentaller,cortarhoja y organizar para manufactura y montador. Incluye 2 visitas de hasta 14 kms de radio de desplazamiento.;18.13
Luna flotada incolora. Espesor 2 mm.;31.62
Luna flotada incolora. Espesor 3 mm.;33.99
Luna flotada incolora. Espesor 4 mm.;37.41
Luna flotada incolora. Espesor 5 mm.;39.35
Luna flotada incolora. Espesor 6 mm.;42.83
Luna flotada incolora. Espesor 8 mm.;60.77
Luna flotada incolora. Espesor 10 mm.;72.54
Luna flotada incolora. Espesor 12 mm.;109.01
Luna flotada incolora. Espesor 15 mm.;145.53
Luna flotada incolora. Espesor 19 mm.;275.05
Luna Parsol o luna flotada coloreada, color gris, bronce o verde. Espesor 4 mm.;45.11
Luna Parsol o luna flotada coloreada, color gris, bronce o verde. Espesor 5 mm.;52.51
Luna Parsol o luna flotada coloreada, color gris, bronce o verde. Espesor 6 mm.;59.04
Luna Parsol o luna flotada coloreada, color gris, bronce o verde. Espesor 8 mm.;90.91
Luna Parsol o luna flotada coloreada, color gris, bronce o verde. Espesor 10 mm.;98.64
Luna Parsol o luna flotada coloreada, color rosa. Espesor 4 mm.;72.98
Luna Parsol o luna flotada coloreada, color rosa. Espesor 5 mm.;84.3
Luna Parsol o luna flotada coloreada, color rosa. Espesor 6 mm.;97.2
Luna Parsol o luna flotada coloreada, color rosa. Espesor 8 mm.;135.25
Luna Parsol o luna flotada coloreada, color rosa. Espesor 10 mm.;161.3
Espejo incoloro. Espesor 2 mm.;48.3
Espejo incoloro. Espesor 3 mm.;50.77
Espejo incoloro. Espesor 4 mm.;54.56
Espejo incoloro. Espesor 5 mm.;61.18
Espejo incoloro. Espesor 6 mm.;63.36
Espejo incoloro. Espesor 8 mm.;119.82
Espejo incoloro envejecido. Espesor 3 mm.;149.9
Espejo incoloro envejecido. Espesor 4 mm.;153.24
Espejo incoloro envejecido. Espesor 5 mm.;155.11
Espejo incoloro envejecido. Espesor 6 mm.;159.6
Espejo color gris, bronce o verde. Espesor 3 mm.;86.81
Espejo color gris, bronce o verde. Espesor 4 mm.;93.44
Espejo color gris, bronce o verde. Espesor 5 mm.;101.77
Espejo color gris, bronce o verde. Espesor 6 mm.;107.15
Espejo color gris, bronce o verde. Espesor 8 mm.;167.24
Espejo color rosa. Espesor 3 mm.;122.77
Espejo color rosa. Espesor 4 mm.;130.05
Espejo color rosa. Espesor 5 mm.;133.49
Espejo color rosa. Espesor 6 mm.;147.88
Espejo color rosa. Espesor 8 mm.;211.88
Espejo envejecido color gris, bronce o verde. Espesor 4 mm.;155.16
Espejo envejecido color gris, bronce o verde. Espesor 6 mm.;170.86
Espejo envejecido color rosa. Espesor 4 mm.;176.33
Espejo envejecido color rosa. Espesor 6 mm.;191.4
Antelio o vidrio de control solar de similares características, color. Espesor 5 mm.;63.02
Antelio o vidrio de control solar de similares características, color. Espesor 6 mm.;67.19
Antelio o vidrio de control solar de similares características, color. Espesor 8 mm.;86.86
Antelio o vidrio de control solar de similares características, color. Espesor 10 mm.;118.93
Reflectasolovidriodecontrolsolardesimilarescaracterísticas,incoloro.Espesor 5 mm.;55.04
Reflectasolovidriodecontrolsolardesimilarescaracterísticas,incoloro.Espesor 6 mm.;58.86
Reflectasolovidriodecontrolsolardesimilarescaracterísticas,colorgris,bronce o verde. Espesor 5 mm.;88.13
Reflectasolovidriodecontrolsolardesimilarescaracterísticas,colorgris,bronce o verde. Espesor 6 mm.;91.52
Reflectasol o vidrio de control solar de similares características, color rosa. Espesor 5 mm.;110.19
Reflectasol o vidrio de control solar de similares características, color rosa. Espesor 6 mm.;114.6
Cool-lite o vidrio de control solar de similares características, color plata, azul, gris, bronce o verde. Espesor 6 mm.;95.1
Cool-lite o vidrio de control solar de similares características, color plata, azul, gris, bronce o verde. Espesor 8 mm.;115.31
Cool-lite o vidrio de control solar de similares características, color plata, azul, gris, bronce o verde. Espesor 10 mm.;124.14
Cool-liteovidriodecontrolsolardesimilarescaracterísticas,colorrosa.Espesor6 mm.;171.65
Vidrioimpresoincoloro,cualquiermodelo(estriado,arena,gótico,brisa,catedral, clarglas, entrelazado, hojas, impreso 37, listral, kyoto, master carre, etc). Espesor 4 mm.;39.08
Vidrio impreso incoloro, cualquier modelo (arena, brisa, clarglas, impreso 200, listral, master carre, etc). Espesor 6 mm.;49.84
Vidrio impreso incoloro, cualquier modelo (arena, listral, master carre, etc). Espesor 10 mm.;83.58
Vidrio impreso color, cualquier modelo (arena, brisa ambar, catedral, clarglas, entrelazado, hojas, listral, kyoto, etc). Espesor 4 mm.;87.7
Vidrio impreso color, cualquier modelo (clarglas, etc). Espesor 6/7 mm.;92.76
Vidrio impreso descatalogado.;92.76
U-Glass.;62.82
U-Glass armado.;74.13
Luna flotada armada incolora. Espesor 6 mm.;123.53
Vidrio impreso armado incoloro. Espesor 6 mm.;51.06
Vidrio impreso armado color. Espesor 6 mm.;104.54
Dravel o vidrio armado clasificado para llamas similar.;434.4
Vidrios decorados Madrás. Modelos Gaudí, Astral, Hojas tricolor o Tom.;144.61
VidriosdecoradosMadrás.ModelosPicks,Milrayas,Escarcha,Alhambra,Espigas, Triana, Rosas o Nebulosa.;110.03
Doble acristalamiento. Base ► Luna flotada incolora de 4 mm + intercalario hasta 12 mm + Luna flotada incolora de 4 mm.;56.85
Suplemento por luna flotada incolora. Espesor 5 mm.;4.61
Suplemento por luna flotada incolora. Espesor 6 mm.;7.87
Suplemento por luna flotada incolora. Espesor 8 mm.;28.83
Suplemento por luna flotada incolora. Espesor 10 mm.;40.41
Suplemento por luna Parsol o luna flotada coloreada. Espesor 4 mm.;16.67
Suplemento por luna Parsol o luna flotada coloreada. Espesor 5 mm.;24.57
Suplemento por luna Parsol o luna flotada coloreada. Espesor 6 mm.;32.75
Suplemento por vidrio impreso incoloro, cualquier modelo. Espesor 4 mm.;6.87
Suplemento por vidrio impreso color, cualquier modelo. Espesor 3/4 mm.;10.87
Suplemento por Reflectasol o vidrio de control solar de similares características, incoloro. Espesor 5 mm.;10.51
Suplemento por Reflectasol o vidrio de control solar de similares características, incoloro. Espesor 6 mm.;13.23
Suplemento por Reflectasol o vidrio de control solar de similares características, color. Espesor 5 mm.;21.03
Suplemento por Reflectasol o vidrio de control solar de similares características, color. Espesor 6 mm.;26.46
Suplemento por Antelio o vidrio de control solar de similares características. Espesor 6 mm.;23.64
Suplemento por Antelio o vidrio de control solar de similares características. Espesor 8 mm.;41.47
Suplemento por Antelio o vidrio de control solar de similares características. Espesor 10 mm.;67.14
Suplemento por Cool-lite o vidrio de control solar de similares características. Espesor 6 mm.;47.32
Suplemento por Cool-lite o vidrio de control solar de similares características. Espesor 8 mm.;65.76
Suplemento por Cool-lite o vidrio de control solar de similares características. Espesor 10 mm.;72.98
Suplemento por Planitherm S o vidrio de baja emisividad y aislamiento térmico reforzado de similares características. Espesor 4 mm.;19.62
Suplemento por Planitherm S o vidrio de baja emisividad y aislamiento térmico reforzado de similares características. Espesor 6 mm.;27.47
SuplementoporPlanithermSolarovidriodebajaemisividad,aislamientotérmico reforzado y factor solar elevado de similares características. Espesor 4 mm.;27.47
Suplemento por Planistar o vidrio de baja emisividad, aislamiento térmico reforzado y bajo factor solar de similares características. Espesor 4 mm.;19.93
Suplemento por Planistar o vidrio de baja emisividad, aislamiento térmico reforzado y bajo factor solar de similares características. Espesor 6 mm.;26.01
Suplemento por Eko Plus S o vidrio de baja emisividad y aislamiento térmico reforzado de similares características. Espesor 4 mm.;28.62
Suplemento por Eko Plus S o vidrio de baja emisividad y aislamiento térmico reforzado de similares características. Espesor 6 mm.;41.64
Suplemento por laminar. Espesor 3+3 mm.;35.27
Suplemento por laminar. Espesor 4+4 mm.;92.73
Suplemento por laminar. Espesor 5+5 mm.;101.07
Suplemento por laminar. Espesor 6+6 mm.;103.04
Suplemento por luna mate . Espesor 4 mm.;28.53
Suplemento por luna mate. Espesor 5 mm.;33.28
Suplemento por luna mate. Espesor 6 mm.;40.39
Suplemento por intercalario de 14 mm o mayor.;2.72
Suplemento barrotillo.;10.73
Vidrio laminar. Espesor 3+3 mm.;82.99
Vidrio laminar. Espesor 4+4 mm.;108.11
Vidrio laminar. Espesor 5+5 mm.;124.66
Vidrio laminar. Espesor 6+6 mm.;148.93
Vidrio laminar. Espesor 8+8 mm.;188.07
Vidrio laminar. Espesor 10+10 mm.;231.89
Vidrio laminar. Espesor 6+6+6 mm.;235.25
Vidrio laminar. Espesor 10+10+2,5 mm.;409.11
Vidrio laminar. Espesor 3+6+6+6+3 mm.;314.42
Butiral transparente color gris, bronce o verde.;21.65
Butiral translúcido color.;21.65
Butiral color blanco.;28.86
Butiral opaco color.;28.86
